probe,F,symbol,known
11728180_s_at,9.429118775203625,CHIC1,False
11735166_x_at,9.417405920168145,OSBPL5,False
11763329_a_at,9.406720685842863,DOK1,False
11752732_x_at,9.39205733927765,DUS4L,False
11729250_at,9.386481821959551,B3GALT2,False
11716009_a_at,9.355937151900187,DYNC1LI2,False
11739891_at,9.354958110673163,ARPC4-TTLL3,False
11722993_x_at,9.347261882826398,PLIN3,False
11763818_x_at,9.342115558205377,PRR5,False
11757498_s_at,9.33913330342441,TMEM106C,False
11743334_a_at,9.336935065147182,MRPL35,False
11717102_a_at,9.334833506512343,SLC38A1,False
11725795_at,9.33203410836858,S1PR2,False
11726341_at,9.330597778376443,DPEP3,False
11731953_a_at,9.317898749054445,SLC4A8,False
11743772_a_at,9.316122796082345,LZTFL1,False
11758194_s_at,9.313232548097139,DPP4,False
11719381_a_at,9.307680373895272,PSENEN,False
11740378_a_at,9.30349553512362,AFTPH,False
11739193_a_at,9.289959704363437,SLMAP,False
11725145_a_at,9.275484965385198,MIS12,False
11724425_s_at,9.262697904219202,FAM98A,False
11757625_s_at,9.262128556393392,CD200,False
11720517_a_at,9.256766859127142,ZBTB4,False
11745234_a_at,9.252566953083802,HACD4,False
11749957_x_at,9.250955302545757,REEP5,False
11718636_a_at,9.2228786328084,JMJD1C,False
11735157_at,9.218845684014784,CYSLTR1,False
11721939_a_at,9.216595697806097,ADORA2A,False
11756817_a_at,9.212218014593505,FCER2,False
11746053_x_at,9.207215811691391,LOC100996720,False
11744954_x_at,9.206641952069859,ANXA1,False
11724720_a_at,9.20207600408427,GALNT12,False
11725979_a_at,9.198663153872754,CALB1,False
11721648_at,9.193016422878985,GPATCH4,False
11761467_x_at,9.1897780771542,IGHG3,False
11726728_a_at,9.188112093688067,NABP1,False
11727834_at,9.185022319246428,WDR43,False
11742454_s_at,9.184964182929058,PHF20L1,False
11760221_at,9.181015253141494,CASP4,False
11720363_at,9.171207124280222,PHIP,False
11740722_a_at,9.166318935820168,IL1RN,False
11733929_a_at,9.149819093454024,ARMC8,False
11741775_a_at,9.143065489989139,IL24,False
11727604_a_at,9.133718991384741,EPB41L4A,False
11716377_s_at,9.131090968968888,GRN,False
11750802_x_at,9.130628327158904,LIMK2,False
11736987_a_at,9.12989637742593,NUBPL,False
11739963_x_at,9.113119399908406,FDXACB1,False
11730613_at,9.107776562334147,MBOAT7,False
11759383_at,9.09881501374612,KRTAP20-2,False
11729907_a_at,9.094631651027012,METTL15,False
11758109_s_at,9.093641222104987,ZNF428,False
11728128_a_at,9.090977467442752,APTX,False
11735540_at,9.08424568919989,WEE2,False
11742785_a_at,9.081063988395808,SETX,False
11733860_a_at,9.073813385221914,CLASP2,False
11719121_a_at,9.073131138465316,PPP1R14A,False
11728763_x_at,9.069972145685108,GAL3ST4,False
11751252_a_at,9.068013344069108,GNB4,False
11721048_s_at,9.061226027185377,N6AMT2,False
11736030_a_at,9.0598107513809,SLC16A3,False
11734090_s_at,9.054451404567086,C5orf42,False
11744920_a_at,9.040088585674127,ODF3B,False
11728945_x_at,9.02147007175641,LST1,False
11716982_at,9.020210657662782,CMSS1,False
11733616_at,9.014202698610953,HNMT,False
11727558_a_at,9.009840626433519,TK2,False
11722996_a_at,9.008132794360455,NOL11,False
11718276_x_at,9.00704224620096,IFRD2,False
11757829_a_at,9.003851052787338,HACD3,False
11736836_at,9.00346106045887,TPCN2,False
11758081_s_at,8.996819297583139,ENSA,False
11726852_a_at,8.996705382733358,CECR6,False
11719749_a_at,8.993015392514629,EBPL,False
11730385_at,8.986875410202952,GREM2,False
11733127_at,8.986218171724472,SLC25A26,False
11720976_at,8.984576116416873,WIPF2,False
